L0;L1;L2;L3
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Alemania
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Austria
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Bélgica
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Bulgaria
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Chipre
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Croacia
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Dinamarca
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Eslovenia
España;España;España;España
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Estonia
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Finlandia
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Francia
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Grecia
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Hungría
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Irlanda
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Italia
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Letonia
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Lituania
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Luxemburgo
NACIDOS EN EL EXTRANJERO;PAÍSES EUROPEOS;UNIÓN EUROPEA (27_2020);Malta
