age,sex,residence,country.birth,income
54,Male,Málaga,España,19000
51,Female,Madrid,España,10000
57,Female,Castelló,España,19000
18,Female,Madrid,España,14000
45,Male,Barcelona,España,19000
63,Male,Bizkaia,España,39000
69,Male,Málaga,Marruecos,28000
71,Male,València,España,10000
54,Female,Barcelona,España,14000
48,Male,Murcia,Rumanía,25000
61,Female,València,España,35000
55,Male,Ourense,España,19000
83,Female,Asturias,España,10000
47,Female,Santa Cruz de Tenerife,España,14000
46,Female,Jaén,España,20000
40,Female,Bizkaia,España,31000
21,Male,Illes Balears,España,16000
34,Male,Gipuzkoa,Marruecos,17000
23,Female,Barcelona,España,13000
83,Male,Badajoz,Egipto,30000
36,Male,Alacant,España,5000
42,Male,Madrid,España,33000
33,Female,Asturias,El Salvador,25000
58,Female,Toledo,España,30000
54,Female,Palencia,España,34000
47,Female,Madrid,España,10000
25,Female,Zamora,España,5000
36,Female,Alacant,España,13000
49,Male,Zaragoza,Senegal,12000
48,Female,Lleida,España,14000
65,Male,Valladolid,España,23000
51,Female,Barcelona,España,10000
57,Female,Barcelona,España,10000
71,Male,Santa Cruz de Tenerife,Bolivia,39000
54,Male,Barcelona,España,31000
77,Male,Cuenca,España,11000
67,Male,Zamora,España,12000
81,Male,Alacant,España,29000
82,Male,Zamora,España,23000
29,Female,Zamora,España,32000
69,Male,Araba,España,31000
47,Female,Asturias,España,25000
53,Male,Badajoz,España,22000
60,Female,Teruel,España,25000
50,Female,Barcelona,Colombia,16000
81,Female,León,España,36000
65,Male,A Coruña,España,32000
64,Male,Barcelona,España,14000
67,Female,Barcelona,España,20000
80,Male,Salamanca,España,54000
41,Male,Madrid,España,47000
31,Female,Jaén,España,51000
42,Male,Alacant,Ucrania,52000
66,Female,Barcelona,Ecuador,7000
72,Male,Santa Cruz de Tenerife,España,25000
31,Female,Las Palmas,España,22000
54,Female,Araba,España,7000
19,Female,Murcia,España,49000
30,Female,Cuenca,España,58000
40,Male,Barcelona,España,10000
